speaker_name,website_url,talk_title,conf_name
John Lilic,https://www.johnlilic.info/,Pushing Blockchain Limits with Hardware Accelerated Provable Computation,ETH Belgrade
Solange Gueiros,https://twitter.com/solangegueiros,Unlocking blockchain frontiers with Chainlink,ETH Belgrade
Dragan Rakita,https://twitter.com/rakitadragan,Ethereum in next two years: Prague & Osaka hardforks,ETH Belgrade
Simon Emanuel Schmid,https://twitter.com/schmid_si,,ETH Belgrade
TokenBrice,https://twitter.com/TokenBrice,,ETH Belgrade
Lefteris Karapetsas,https://twitter.com/LefterisJP,,ETH Belgrade
Andrei Kirkkonen,https://twitter.com/pirunpoika,,ETH Belgrade
Mariia Yatskovska,https://twitter.com/MariiaYatskovs2,,ETH Belgrade
Francesco Andreoli,https://twitter.com/francescoswiss,MetaMask Snaps and permissionless innovation strategies,ETH Belgrade
Josselin Feist,https://twitter.com/Montyly,Introduction to fuzzing,ETH Belgrade
Rotorless,https://twitter.com/Rotorless,Is contributor group design flawed?,ETH Belgrade
gmhacker / Gonçalo Magalhães,https://twitter.com/realgmhacker,,ETH Belgrade
Akram El Milligy,https://twitter.com/liquid4teur,Connectivity between Ledger Hardware Device and Ethereum,ETH Belgrade
Nenad Palinkasevic,https://twitter.com/NPalinkasevic,,ETH Belgrade
Bogdan Habic,https://twitter.com/BogdanHabic,Security panel,ETH Belgrade
Niklas Kunkel,https://twitter.com/nomos_paradox,,ETH Belgrade
Vukasin Vukoje,https://twitter.com/wukoje,,ETH Belgrade
Igor Barinov,https://twitter.com/barinov,,ETH Belgrade
Stilyan Mitrev,https://twitter.com/fungibletaco,,ETH Belgrade
Sahil Sen,https://twitter.com/sensahil,,ETH Belgrade
adcv,https://twitter.com/adcv_,,ETH Belgrade
Vukasin Gostovic / makemake,https://twitter.com/makemake_kbo,,ETH Belgrade
Luka Isailovic,https://twitter.com/lukaisailovic,,ETH Belgrade
Abena Asante,https://twitter.com/abena_eth,,ETH Belgrade
Primoz Kordez,https://twitter.com/PrimozKordez,,ETH Belgrade
Simeon Kotashki,https://twitter.com/blockdegenfren,,ETH Belgrade
Jelena Djuric,https://www.linkedin.com/in/djuricjelena,Solving native asset issuance in a modular ecosystem,ETH Belgrade
Brenda Loya,https://twitter.com/JustBrendax,Security panel,ETH Belgrade
Brenda Loya,https://twitter.com/JustBrendax,Tellor Layer: Decentralized Oracles for the Next Era,ETH Belgrade
Bojan,https://twitter.com/bjnpck,,ETH Belgrade
Viraz Malhotra,https://twitter.com/Viraz04,,ETH Belgrade
definikola,https://twitter.com/definikola,,ETH Belgrade
Najdana Majors,https://twitter.com/najdana_m,Crafting the Blueprint: Building an Engaged DAO,ETH Belgrade
engn33r,https://twitter.com/bl4ckb1rd71,Security Not Priced In: Security Footguns of Price Data,ETH Belgrade
James Corbett,https://twitter.com/l__c__m,,ETH Belgrade
Matej Janez,https://twitter.com/matejanez,,ETH Belgrade
Rami Khalil,https://twitter.com/hashcashier,,ETH Belgrade
Yehor Balytskyi,https://twitter.com/turbofakesmile,Systematic security approach for blockchain-based software,ETH Belgrade
Daniela Zschaber,https://twitter.com/danimimm,,ETH Belgrade
Tadeo,,,ETH Belgrade
Ilija Rilakovic,https://twitter.com/LawyerWooden,,ETH Belgrade
Mladen Milankovic,https://twitter.com/mladenmilankovi,,ETH Belgrade
Cathie So,https://twitter.com/drCathieSo_eth,,ETH Belgrade
Andreea Cia,https://twitter.com/iandreeacia,Geopolitics unchained: exploring web3’s global impact,ETH Belgrade
Jimmy Zhao,https://twitter.com/bnbchain,,ETH Belgrade
Petar Atanasovski,https://twitter.com/AtanasovskiP,,ETH Belgrade
Jakub Jaworski,https://twitter.com/0xjvrsky,RaaS <> Oracles: How do they interact,ETH Belgrade
Marija Mikic,,,ETH Belgrade
Alex Mukhin,https://twitter.com/alex__mcl,,ETH Belgrade
James Glasscock,https://twitter.com/0xJMG,,ETH Belgrade
Cyrille,https://twitter.com/cyrille_briere,,ETH Belgrade
Andrija Novakovic,,,ETH Belgrade
Michael Halepas,https://twitter.com/MikeHalepas,,ETH Belgrade
Ben Biedermann,https://twitter.com/b3nedictvs,,ETH Belgrade
Marijo Radman,https://twitter.com/marijo_radman,,ETH Belgrade
Sundaram Jha,https://twitter.com/exxyzee,,ETH Belgrade
Lazar Bucan,https://twitter.com/0xlazar,Find any Smart Contract with Cookbook.dev,ETH Belgrade
Vladislav Sopov,https://twitter.com/VanceWood18,Beyond RPC endpoints: Add-ons and extra services for blockchain APIs in 2024,ETH Belgrade
Pavel Fedotov,https://twitter.com/pfedprog,,ETH Belgrade
Simon Engel,https://twitter.com/Engel_Simon,,ETH Belgrade
Petr Korolev,https://twitter.com/skywinder,,ETH Belgrade
Denis Vuckovac,https://twitter.com/dnsvckvc,,ETH Belgrade
